,Date,Open,High,Low,Close,Adj Close,Volume,change,log_return
0,2022-07-29,134.899994,137.649994,132.410004,134.949997,134.949997,148715600,0.103614639381866,0.0985908283888761
1,2022-07-28,121.57,122.839996,118.080002,122.279999,122.279999,82245500,0.0108291145670075,0.0107708996064123
2,2022-07-27,117.309998,121.900002,117.160004,120.970001,120.970001,61582000,0.0536538899687116,0.0522640185526341
3,2022-07-26,115.790001,118.150002,114.529999,114.809998,114.809998,67075100,-0.0522535995728381,-0.0536683226122545
4,2022-07-25,122.699997,123.639999,120.029999,121.139999,121.139999,50221300,-0.0104557998767489,-0.0105108457878345
5,2022-07-22,125.010002,125.5,121.349998,122.419998,122.419998,51402700,-0.017732480568061,-0.0178915846813104
6,2022-07-21,123.199997,124.849998,121.260002,124.629997,124.629997,60239900,0.0151502813834882,0.0150366620102233
7,2022-07-20,118.620003,123.480003,118.32,122.769997,122.769997,71268300,0.0385754000387058,0.0378499664540468
8,2022-07-19,115.699997,118.949997,114.029999,118.209999,118.209999,60990000,0.0391174131660089,0.0383717116669616
9,2022-07-18,115,117.239998,113.150002,113.760002,113.760002,59115400,0.00184939669266232,0.00184768866415613
10,2022-07-15,112.5,115.589996,111.589996,113.550003,113.550003,83891100,0.0263943422144357,0.0260520220422456
11,2022-07-14,110.239998,111.18,107.580002,110.629997,110.629997,51163100,0.00208328800573756,0.00208112097046391
12,2022-07-13,107.029999,111.779999,106.010002,110.400002,110.400002,61353800,0.0108038911297941,0.0107459460790969
13,2022-07-12,112.160004,113.230003,108.339996,109.220001,109.220001,54280300,-0.0226398120805369,-0.0229000276138383
14,2022-07-11,114.080002,114.300003,110.870003,111.75,111.75,53487600,-0.0328025010143457,-0.0333525655144525
15,2022-07-08,114.599998,116.580002,113.690002,115.540001,115.540001,45658200,-0.00679103401029762,-0.00681419801301375
16,2022-07-07,113.849998,116.989998,113.489998,116.330002,116.330002,57872300,0.0174932210707037,0.0173419759740448
17,2022-07-06,113.209999,115.480003,112.010002,114.330002,114.330002,66958900,0.00731279295154179,0.00728618412564229
18,2022-07-05,107.599998,114.080002,106.32,113.5,113.5,76583700,0.0359620488492525,0.0353305107814177
19,2022-07-01,106.290001,109.75,105.849998,109.559998,109.559998,72952000,0.031541277012911,0.0310540692219007
20,2022-06-30,108.110001,108.18,102.519997,106.209999,106.209999,97679400,-0.0248806376217525,-0.0251953925253192
21,2022-06-29,107.379997,110.989998,106.910004,108.919998,108.919998,66375300,0.0141526626787214,0.01405344874672
22,2022-06-28,113.5,114.849998,107.040001,107.400002,107.400002,74942900,-0.0514043362356091,-0.0527726367441374
23,2022-06-27,117.089996,117.980003,112.699997,113.220001,113.220001,62133200,-0.0278206940393328,-0.028215020381459
24,2022-06-24,112.379997,116.709999,111.43,116.459999,116.459999,69867600,0.0357523739638495,0.0351280939967392
25,2022-06-23,110.389999,113,107.93,112.440002,112.440002,64345300,0.0320330894547892,0.0315307299705336
26,2022-06-22,107.43,112.129997,107.019997,108.949997,108.949997,60040100,0.00248433014354057,0.00248124929691473
